cliente_id;nome;email;telefone;data_nascimento
58;Jorge Fernandes;jorge.fernandes@exemplo.com;(19) 3519-6742;19/10/2003
59;Sérgio Rocha;sérgio.rocha@exemplo.com;(19) 5622-6033;26/05/1965
60;Maria Clara dos Santos;maria.santos@exemplo.com;(19) 4441-8174;25/02/1991
61;Leonardo Martins;leonardo.martins@exemplo.com;(19) 2169-1843;02/06/1976
62;Márcio Silva;márcio.silva@exemplo.com;(19) 5963-7758;20/05/1997
63;Vinícius Costa;vinícius.costa@exemplo.com;(19) 3751-5293;16/07/1972
64;Heitor Vilela;heitor.vilela@exemplo.com;(19) 1939-4542;15/05/2004
65;Ricardo Neves;ricardo.neves@exemplo.com;(19) 5150-6156;17/08/1974
66;Carla Dias;carla.dias@exemplo.com;(19) 9979-6224;10/08/1995
67;Patricia Moraes;patricia.moraes@exemplo.com;(19) 8051-5490;16/06/1978
68;Elisa Campos;elisa.campos@exemplo.com;(19) 5898-5087;02/04/1988
69;Luiz Otávio Pereira;luiz.pereira@exemplo.com;(19) 1192-3283;11/06/1993
70;Antônio Carlos Jobim;antônio.jobim@exemplo.com;(19) 8139-9610;21/10/1987
71;Fernando Pessoa;fernando.pessoa@exemplo.com;(19) 9203-5642;05/07/1969
72;Vicente Ferreira;vicente.ferreira@exemplo.com;(19) 2311-1636;06/05/1981
73;Lucas Gabriel das Neves;lucas.neves@exemplo.com;(19) 7114-6296;07/02/1959
74;Fernando Peixoto;fernando.peixoto@exemplo.com;(19) 7214-7983;12/07/1955
75;Marina Lopes;marina.lopes@exemplo.com;(19) 1098-4774;24/09/1958
76;Henrique Azevedo;henrique.azevedo@exemplo.com;(19) 4117-2805;24/10/2005
77;Lara Almeida;lara.almeida@exemplo.com;(19) 7700-5707;27/02/2006
78;Lucas Gabriel Duarte;lucas.duarte@exemplo.com;(19) 6974-5412;10/09/1959
79;Augusto Ferreira;augusto.ferreira@exemplo.com;(19) 4794-2747;24/05/1995
80;Dra. Alexia Pires;dra..pires@exemplo.com;(19) 6826-2938;07/03/2002
81;Rebeca Dias;rebeca.dias@exemplo.com;(19) 8295-8703;20/05/1970
82;Luigi Souza;luigi.souza@exemplo.com;(19) 3197-1232;24/09/1975
83;Ana Sophia Porto;ana.porto@exemplo.com;(19) 1051-9340;25/11/1998
84;Davi Luiz Lima;davi.lima@exemplo.com;(19) 9566-7407;22/01/1966
85;Lívia Moura;lívia.moura@exemplo.com;(19) 9419-9696;10/08/1972
86;Ana Sophia Nunes;ana.nunes@exemplo.com;(19) 8045-1233;01/11/1988
87;Benjamin Barros;benjamin.barros@exemplo.com;(19) 5416-5443;21/11/1959
88;Srta. Pietra Cardoso;srta..cardoso@exemplo.com;(19) 5373-6346;01/03/1991
89;Dr. João Vitor Rodrigues;dr..rodrigues@exemplo.com;(19) 8541-3328;02/08/2004
90;Elisa Caldeira;elisa.caldeira@exemplo.com;(19) 6867-6386;23/08/1987
91;Pedro Miguel Nogueira;pedro.nogueira@exemplo.com;(19) 3992-5138;25/09/1983
92;Clarice da Mota;clarice.mota@exemplo.com;(19) 7239-1455;21/12/1974
93;Thomas Costela;thomas.costela@exemplo.com;(19) 5602-9095;06/01/1983
94;Carolina Aragão;carolina.aragão@exemplo.com;(19) 2059-9033;27/01/1955
95;Dr. Lorenzo Oliveira;dr..oliveira@exemplo.com;(19) 3802-8228;18/03/1996
96;Ian Santos;ian.santos@exemplo.com;(19) 8206-7828;28/11/1958
97;Sra. Gabrielly Barros;sra..barros@exemplo.com;(19) 8595-9044;02/01/1999
98;Dr. Levi Rodrigues;dr..rodrigues@exemplo.com;(19) 4785-7787;22/10/1971
99;Antônio Fogaça;antônio.fogaça@exemplo.com;(19) 7793-7027;28/06/1969
100;Erick Caldeira;erick.caldeira@exemplo.com;(19) 2553-7100;15/06/1967
101;Vitor Moreira;vitor.moreira@exemplo.com;(19) 1655-9761;18/10/1987
